                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5312,                 3.9234,                 2.0316,                0.02894,                0.05455,                0.02322,                0.00881,                    nan,                    nan,                    nan,             0.00054498,             0.00054498,             0.00054498
                      2,                 2.3484,                 3.2117,                 1.9017,                0.18802,                0.05909,                0.02311,                0.00893,                    nan,                    nan,                    nan,              0.0010789,              0.0010789,              0.0010789
                      3,                 2.4215,                 3.0378,                 2.0133,                0.11663,                0.21364,                0.08218,                0.02992,                    nan,                    nan,                    nan,              0.0015907,              0.0015907,              0.0015907
                      4,                 2.4123,                 2.9034,                  2.012,                 0.2983,                0.38182,                0.18899,                0.07894,                    nan,                    nan,                    nan,               0.001568,               0.001568,               0.001568
                      5,                 2.3097,                 2.6918,                 1.9181,                0.34883,                0.42727,                0.26649,                0.10889,                    nan,                    nan,                    nan,               0.001535,               0.001535,               0.001535
                      6,                 2.3301,                 2.6483,                 1.9383,                0.30193,                0.35455,                0.18603,                0.07704,                    nan,                    nan,                    nan,               0.001502,               0.001502,               0.001502
                      7,                 2.2333,                 2.5412,                 1.8275,                0.48509,                0.39545,                0.33317,                0.17643,                    nan,                    nan,                    nan,               0.001469,               0.001469,               0.001469
                      8,                  2.282,                 2.5375,                 1.8833,                0.41135,                0.42789,                0.33165,                0.16778,                    nan,                    nan,                    nan,               0.001436,               0.001436,               0.001436
                      9,                 2.2658,                 2.5689,                 1.8622,                0.44942,                0.39545,                0.33609,                 0.1688,                    nan,                    nan,                    nan,              0.0014029,              0.0014029,              0.0014029
                     10,                 2.2691,                 2.5486,                 1.8444,                0.46755,                0.37273,                0.30523,                0.13696,                    nan,                    nan,                    nan,              0.0013699,              0.0013699,              0.0013699
                     11,                 2.2025,                 2.4237,                 1.8082,                0.44043,                0.45116,                0.31707,                0.17018,                    nan,                    nan,                    nan,              0.0013369,              0.0013369,              0.0013369
                     12,                 2.1654,                 2.4308,                 1.7936,                0.49099,                0.39091,                0.32189,                0.17244,                    nan,                    nan,                    nan,              0.0013039,              0.0013039,              0.0013039
