                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5312,                 3.9234,                 2.0316,                0.02894,                0.05455,                0.02322,                0.00881,                    nan,                    nan,                    nan,             0.00054498,             0.00054498,             0.00054498
                      2,                 2.3461,                 3.2041,                  1.892,                0.06951,                0.06364,                0.01462,                0.00556,                    nan,                    nan,                    nan,              0.0010952,              0.0010952,              0.0010952
                      3,                 2.4064,                 3.0482,                  1.998,                0.22293,                0.31818,                0.12482,                0.05328,                    nan,                    nan,                    nan,              0.0016399,              0.0016399,              0.0016399
                      4,                 2.4255,                  2.906,                  1.989,                0.32787,                0.36747,                0.20243,                0.09271,                    nan,                    nan,                    nan,              0.0016422,              0.0016422,              0.0016422
                      5,                 2.3752,                 2.7357,                 1.9546,                0.38321,                0.40909,                0.26152,                0.12391,                    nan,                    nan,                    nan,               0.001634,               0.001634,               0.001634
                      6,                  2.384,                 2.6966,                 1.9641,                0.35002,                0.39614,                0.24552,                0.11312,                    nan,                    nan,                    nan,              0.0016257,              0.0016257,              0.0016257
                      7,                 2.2749,                 2.5267,                 1.8706,                0.43108,                0.44091,                0.31138,                0.15709,                    nan,                    nan,                    nan,              0.0016175,              0.0016175,              0.0016175
                      8,                  2.291,                 2.5346,                 1.8435,                0.31311,                0.37599,                0.20699,                 0.0916,                    nan,                    nan,                    nan,              0.0016092,              0.0016092,              0.0016092
                      9,                 2.2946,                  2.583,                 1.8465,                0.36499,                0.42727,                0.30021,                0.13654,                    nan,                    nan,                    nan,               0.001601,               0.001601,               0.001601
                     10,                 2.2942,                 2.5825,                 1.8494,                0.37419,                0.33182,                0.23651,                0.10361,                    nan,                    nan,                    nan,              0.0015927,              0.0015927,              0.0015927
                     11,                 2.2556,                 2.4265,                 1.8568,                0.38754,                0.41818,                0.29952,                 0.1606,                    nan,                    nan,                    nan,              0.0015845,              0.0015845,              0.0015845
                     12,                 2.1841,                 2.4694,                 1.8183,                 0.4053,                0.35909,                0.27258,                0.12502,                    nan,                    nan,                    nan,              0.0015762,              0.0015762,              0.0015762
                     13,                  2.207,                 2.4554,                 1.8172,                0.52629,                0.46143,                0.36985,                0.18719,                    nan,                    nan,                    nan,               0.001568,               0.001568,               0.001568
                     14,                 2.2226,                 2.4607,                 1.8319,                0.51117,                0.42727,                0.35433,                0.19649,                    nan,                    nan,                    nan,              0.0015597,              0.0015597,              0.0015597
                     15,                 2.1701,                 2.3555,                 1.7904,                0.43547,                 0.4389,                0.28544,                0.14878,                    nan,                    nan,                    nan,              0.0015515,              0.0015515,              0.0015515
                     16,                 2.1865,                 2.4196,                 1.8363,                0.40913,                0.47859,                0.28607,                 0.1541,                    nan,                    nan,                    nan,              0.0015432,              0.0015432,              0.0015432
                     17,                  2.188,                 2.3986,                 1.8258,                0.64557,                0.38636,                0.40021,                0.18766,                    nan,                    nan,                    nan,               0.001535,               0.001535,               0.001535
                     18,                 2.1149,                 2.3298,                 1.7849,                0.48683,                0.44178,                0.33542,                0.15836,                    nan,                    nan,                    nan,              0.0015267,              0.0015267,              0.0015267
                     19,                 2.1833,                 2.3918,                 1.7994,                 0.6794,                0.38636,                0.40741,                0.20428,                    nan,                    nan,                    nan,              0.0015185,              0.0015185,              0.0015185
                     20,                 2.1426,                 2.3442,                 1.7745,                0.44391,                    0.4,                 0.3241,                0.16067,                    nan,                    nan,                    nan,              0.0015102,              0.0015102,              0.0015102
                     21,                 2.1598,                 2.3698,                 1.8138,                0.50369,                0.42453,                0.34124,                0.17782,                    nan,                    nan,                    nan,               0.001502,               0.001502,               0.001502
                     22,                 2.1423,                 2.3595,                 1.8254,                0.55289,                0.46541,                0.37844,                0.20349,                    nan,                    nan,                    nan,              0.0014937,              0.0014937,              0.0014937
                     23,                 2.1018,                 2.2642,                 1.7728,                0.53092,                    0.4,                0.37881,                0.18959,                    nan,                    nan,                    nan,              0.0014855,              0.0014855,              0.0014855
                     24,                 2.1074,                 2.2704,                 1.7683,                0.43531,                0.44545,                0.33396,                0.16999,                    nan,                    nan,                    nan,              0.0014772,              0.0014772,              0.0014772
