                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3294,                 5.2956,                 1.1062,                0.59647,                0.74961,                0.70845,                0.40383,                 1.3805,                 2.8767,                 1.3167,               0.003326,               0.003326,               0.003326
                      2,                 1.2395,                 2.7657,                 1.0533,                0.89426,                0.88407,                0.91905,                0.49139,                 1.4697,                 1.9559,                 1.3392,              0.0066577,              0.0066577,              0.0066577
                      3,                 1.2358,                 2.3082,                 1.0549,                 0.8644,                0.88997,                0.92441,                0.46818,                 1.6412,                 2.0452,                 1.4636,              0.0099829,              0.0099829,              0.0099829
                      4,                 1.2272,                 2.0014,                 1.0535,                0.91026,                0.90896,                0.92553,                0.46118,                 1.5778,                 2.0705,                 1.4751,               0.009978,               0.009978,               0.009978
                      5,                 1.1863,                 1.6804,                 1.0281,                0.90902,                0.92811,                0.94291,                0.53258,                 1.4199,                 1.7226,                 1.3694,               0.009961,               0.009961,               0.009961
                      6,                 1.1566,                 1.5206,                 1.0242,                0.89199,                0.89342,                0.91438,                0.54593,                 1.6342,                  2.281,                 1.7321,              0.0099391,              0.0099391,              0.0099391
                      7,                 1.1342,                 1.4281,                 1.0201,                0.92018,                0.92308,                0.94715,                0.53552,                 1.3753,                 1.6043,                 1.3172,              0.0099123,              0.0099123,              0.0099123
                      8,                 1.1006,                 1.3219,                 1.0086,                0.92587,                0.93724,                0.93889,                0.53695,                 1.4375,                 1.4266,                 1.4994,              0.0098808,              0.0098808,              0.0098808
                      9,                 1.0837,                 1.2515,                0.99133,                0.92292,                0.95067,                0.93871,                0.54524,                 1.3525,                 1.3267,                 1.3926,              0.0098445,              0.0098445,              0.0098445
                     10,                 1.0764,                  1.231,                0.99367,                0.91758,                0.93842,                0.93505,                 0.5522,                 1.4055,                 1.5252,                 1.3802,              0.0098035,              0.0098035,              0.0098035
                     11,                 1.0487,                 1.1877,                0.98221,                0.92388,                 0.9358,                0.92824,                0.51983,                 1.4044,                 1.4979,                 1.3537,              0.0097577,              0.0097577,              0.0097577
                     12,                  1.038,                 1.1822,                0.98147,                0.91516,                0.92873,                0.93805,                 0.5823,                 1.3303,                 1.3495,                 1.3804,              0.0097074,              0.0097074,              0.0097074
                     13,                 1.0286,                 1.1529,                0.98221,                0.93692,                0.95064,                0.94004,                0.56367,                 1.3433,                 1.2125,                 1.3273,              0.0096524,              0.0096524,              0.0096524
                     14,                  1.012,                 1.1182,                0.96809,                0.92322,                0.94177,                0.93837,                0.56112,                 1.3677,                 1.3581,                 1.4813,              0.0095929,              0.0095929,              0.0095929
                     15,                0.99399,                 1.1034,                0.96854,                0.91604,                0.93763,                0.93778,                0.56965,                 1.2524,                 1.3184,                  1.337,              0.0095289,              0.0095289,              0.0095289
                     16,                 0.9913,                 1.0889,                0.96351,                 0.9323,                0.95581,                0.95627,                0.56061,                 1.3425,                 1.1852,                 1.3564,              0.0094605,              0.0094605,              0.0094605
                     17,                0.97342,                 1.0636,                0.95776,                0.92604,                 0.9437,                0.93229,                0.52797,                 1.3946,                 1.1965,                 1.4418,              0.0093877,              0.0093877,              0.0093877
                     18,                0.97497,                 1.0578,                0.95738,                0.93142,                0.95669,                  0.946,                 0.5643,                 1.2255,                 1.1728,                 1.2664,              0.0093107,              0.0093107,              0.0093107
                     19,                0.96025,                 1.0652,                0.95689,                0.92941,                0.94605,                0.94021,                0.57209,                 1.3128,                  1.202,                 1.3314,              0.0092294,              0.0092294,              0.0092294
                     20,                0.94001,                 1.0312,                0.94738,                0.93486,                0.94963,                0.94196,                0.55211,                 1.3697,                 1.2391,                 1.4054,               0.009144,               0.009144,               0.009144
                     21,                0.94491,                 1.0353,                0.95085,                0.93061,                0.95396,                0.94381,                0.55356,                 1.3748,                 1.1954,                 1.4373,              0.0090546,              0.0090546,              0.0090546
                     22,                0.93761,                 1.0099,                0.94847,                0.92943,                0.96167,                0.94778,                0.55186,                 1.3408,                 1.1416,                 1.3837,              0.0089613,              0.0089613,              0.0089613
