                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3114,                 2.8679,                  1.098,                0.45998,                0.66295,                0.56781,                0.31528,                    nan,                    nan,                    nan,               0.003326,               0.003326,               0.003326
                      2,                 1.2199,                   1.51,                 1.0452,                0.77683,                0.77087,                0.84388,                0.49252,                    nan,                    nan,                    nan,              0.0065934,              0.0065934,              0.0065934
                      3,                 1.2026,                 1.1869,                 1.0404,                0.90279,                0.88491,                0.92469,                0.52718,                    nan,                    nan,                    nan,              0.0097949,              0.0097949,              0.0097949
                      4,                 1.1886,                 1.0002,                 1.0392,                0.88529,                0.88655,                0.92987,                0.54944,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      5,                 1.1242,                0.84325,                 1.0127,                0.91573,                0.91341,                0.93551,                0.53126,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                      6,                  1.085,                 0.7393,                0.99768,                0.91775,                0.93404,                0.94567,                0.55078,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                      7,                 1.0479,                0.68003,                0.98873,                0.91091,                0.92722,                0.92725,                0.50016,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                      8,                 1.0122,                0.61949,                0.97186,                0.91887,                0.93565,                0.94781,                0.55696,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                      9,                0.98834,                0.58037,                 0.9606,                0.92258,                0.94864,                0.94134,                0.54553,                    nan,                    nan,                    nan,               0.009208,               0.009208,               0.009208
                     10,                0.96108,                0.55959,                 0.9578,                0.90301,                0.92773,                0.91881,                0.54263,                    nan,                    nan,                    nan,               0.009109,               0.009109,               0.009109
                     11,                0.93814,                0.53391,                0.94817,                0.92855,                0.94421,                 0.9406,                0.57224,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                     12,                0.91442,                0.51352,                0.93805,                0.92419,                0.94593,                0.94059,                0.56803,                    nan,                    nan,                    nan,               0.008911,               0.008911,               0.008911
                     13,                 0.9043,                0.49749,                0.93871,                0.92703,                0.95458,                0.93921,                0.55794,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     14,                0.88593,                0.48543,                0.92987,                0.93187,                0.95243,                0.94466,                0.55272,                    nan,                    nan,                    nan,               0.008713,               0.008713,               0.008713
                     15,                0.86756,                0.47518,                0.92439,                0.93468,                0.95106,                0.95527,                0.56613,                    nan,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     16,                0.84699,                0.45995,                0.91745,                0.92539,                0.94875,                 0.9474,                0.55606,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     17,                0.83289,                0.45119,                0.91458,                 0.9349,                0.94745,                0.94476,                0.56813,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     18,                 0.8109,                0.43689,                0.91131,                0.93135,                0.95714,                0.94445,                0.57118,                    nan,                    nan,                    nan,               0.008317,               0.008317,               0.008317
                     19,                0.79453,                0.42827,                 0.9038,                0.93078,                0.95735,                0.94489,                0.56415,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
                     20,                0.77829,                0.42153,                0.90042,                0.93614,                0.95059,                0.94896,                0.57296,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
                     21,                0.75991,                0.41199,                0.89433,                0.93371,                0.94308,                0.94075,                0.55121,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                     22,                0.74973,                0.40855,                0.89382,                0.94038,                 0.9602,                0.95807,                0.58078,                    nan,                    nan,                    nan,               0.007921,               0.007921,               0.007921
                     23,                0.73277,                0.40051,                0.88792,                0.92708,                0.96488,                0.94956,                0.55611,                    nan,                    nan,                    nan,               0.007822,               0.007822,               0.007822
                     24,                 0.7199,                0.39286,                0.88548,                0.92406,                0.95702,                0.94495,                  0.533,                    nan,                    nan,                    nan,               0.007723,               0.007723,               0.007723
                     25,                0.70619,                0.38499,                0.88128,                0.92286,                0.95471,                0.94507,                0.57073,                    nan,                    nan,                    nan,               0.007624,               0.007624,               0.007624
                     26,                0.69924,                0.38027,                 0.8796,                0.93166,                0.94742,                0.93886,                0.55399,                    nan,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                     27,                0.68945,                0.37704,                0.87641,                 0.9331,                0.95206,                0.95044,                0.56425,                    nan,                    nan,                    nan,               0.007426,               0.007426,               0.007426
                     28,                0.67982,                 0.3739,                0.87456,                0.93403,                0.94749,                0.94953,                0.54921,                    nan,                    nan,                    nan,               0.007327,               0.007327,               0.007327
                     29,                0.66785,                0.36394,                0.86937,                0.93561,                0.94906,                0.95023,                0.56039,                    nan,                    nan,                    nan,               0.007228,               0.007228,               0.007228
                     30,                0.64976,                0.35318,                0.86826,                0.93756,                0.94933,                0.95035,                0.55725,                    nan,                    nan,                    nan,               0.007129,               0.007129,               0.007129
                     31,                0.64327,                0.35176,                0.86408,                0.93049,                0.95676,                0.95196,                0.56717,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                     32,                0.63226,                0.34712,                0.86376,                0.92313,                0.96239,                0.95336,                0.55735,                    nan,                    nan,                    nan,               0.006931,               0.006931,               0.006931
                     33,                0.62331,                0.34242,                  0.863,                0.93494,                0.94783,                0.95164,                0.56489,                    nan,                    nan,                    nan,               0.006832,               0.006832,               0.006832
                     34,                0.61551,                0.33798,                 0.8594,                0.93848,                0.95684,                0.95699,                0.57049,                    nan,                    nan,                    nan,               0.006733,               0.006733,               0.006733
                     35,                0.60976,                0.33669,                 0.8566,                0.93963,                0.96263,                0.95594,                0.56362,                    nan,                    nan,                    nan,               0.006634,               0.006634,               0.006634
                     36,                0.60273,                0.33318,                0.85585,                0.93063,                0.95426,                0.95389,                0.56186,                    nan,                    nan,                    nan,               0.006535,               0.006535,               0.006535
                     37,                0.59628,                0.32817,                0.85536,                0.93803,                0.95409,                0.96025,                0.58079,                    nan,                    nan,                    nan,               0.006436,               0.006436,               0.006436
                     38,                0.58504,                0.32257,                0.85151,                0.92592,                0.95694,                 0.9524,                0.57021,                    nan,                    nan,                    nan,               0.006337,               0.006337,               0.006337
                     39,                0.57753,                0.32069,                0.84923,                 0.9298,                0.95596,                0.95894,                0.57934,                    nan,                    nan,                    nan,               0.006238,               0.006238,               0.006238
                     40,                0.56996,                0.32056,                0.84912,                0.92081,                0.95904,                0.95332,                0.56644,                    nan,                    nan,                    nan,               0.006139,               0.006139,               0.006139
                     41,                0.57117,                 0.3156,                0.84925,                0.93327,                0.95287,                0.95776,                0.58004,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                     42,                0.56153,                0.31607,                0.84757,                0.92856,                0.96166,                0.95341,                0.57202,                    nan,                    nan,                    nan,               0.005941,               0.005941,               0.005941
                     43,                0.55447,                0.31063,                 0.8455,                0.93435,                0.96889,                0.95875,                0.57322,                    nan,                    nan,                    nan,               0.005842,               0.005842,               0.005842
                     44,                0.55218,                0.30677,                0.84431,                0.93225,                0.95823,                0.95922,                0.56917,                    nan,                    nan,                    nan,               0.005743,               0.005743,               0.005743
                     45,                0.54375,                0.30466,                 0.8446,                0.93383,                0.96544,                0.96057,                0.56881,                    nan,                    nan,                    nan,               0.005644,               0.005644,               0.005644
                     46,                0.53496,                0.29906,                0.83915,                0.92842,                0.96256,                 0.9574,                0.57509,                    nan,                    nan,                    nan,               0.005545,               0.005545,               0.005545
                     47,                0.53287,                 0.2976,                0.84159,                0.93356,                0.95533,                 0.9622,                0.56673,                    nan,                    nan,                    nan,               0.005446,               0.005446,               0.005446
                     48,                 0.5324,                0.29844,                0.84273,                0.93635,                 0.9523,                0.95892,                0.57749,                    nan,                    nan,                    nan,               0.005347,               0.005347,               0.005347
                     49,                0.52952,                0.29563,                0.83784,                0.93014,                0.96176,                 0.9609,                 0.5755,                    nan,                    nan,                    nan,               0.005248,               0.005248,               0.005248
                     50,                0.51231,                0.28927,                0.83597,                0.94322,                 0.9572,                0.96351,                0.56944,                    nan,                    nan,                    nan,               0.005149,               0.005149,               0.005149
                     51,                0.51114,                0.28833,                0.83834,                0.93037,                 0.9584,                0.96412,                0.57477,                    nan,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                     52,                0.50673,                0.28508,                0.83471,                0.92996,                0.96667,                0.96165,                0.57402,                    nan,                    nan,                    nan,               0.004951,               0.004951,               0.004951
                     53,                0.50447,                0.28316,                0.83692,                0.94486,                0.95456,                0.96365,                0.58116,                    nan,                    nan,                    nan,               0.004852,               0.004852,               0.004852
                     54,                0.50065,                0.28248,                0.83329,                0.94135,                 0.9533,                0.96412,                0.57081,                    nan,                    nan,                    nan,               0.004753,               0.004753,               0.004753
                     55,                0.49547,                0.28056,                0.83476,                0.94515,                 0.9546,                0.96596,                0.57499,                    nan,                    nan,                    nan,               0.004654,               0.004654,               0.004654
                     56,                0.49307,                0.27669,                0.83224,                0.93355,                0.95403,                0.96388,                0.57451,                    nan,                    nan,                    nan,               0.004555,               0.004555,               0.004555
                     57,                0.48912,                0.27654,                0.83285,                0.93035,                0.96361,                0.96384,                0.57544,                    nan,                    nan,                    nan,               0.004456,               0.004456,               0.004456
                     58,                0.48584,                0.27597,                0.83377,                0.93386,                0.95787,                0.96388,                0.57384,                    nan,                    nan,                    nan,               0.004357,               0.004357,               0.004357
                     59,                0.47442,                0.26886,                0.82995,                 0.9338,                0.95463,                0.96386,                0.57353,                    nan,                    nan,                    nan,               0.004258,               0.004258,               0.004258
                     60,                 0.4772,                0.26844,                0.82971,                0.93299,                0.95604,                0.96244,                0.57709,                    nan,                    nan,                    nan,               0.004159,               0.004159,               0.004159
                     61,                0.47674,                0.26839,                0.83143,                0.94185,                0.94705,                0.96598,                0.57676,                    nan,                    nan,                    nan,                0.00406,                0.00406,                0.00406
                     62,                0.46734,                0.26435,                0.82846,                0.93372,                0.95664,                0.96367,                0.57003,                    nan,                    nan,                    nan,               0.003961,               0.003961,               0.003961
                     63,                0.46198,                0.26234,                0.82811,                0.93296,                0.96218,                0.96227,                0.58163,                    nan,                    nan,                    nan,               0.003862,               0.003862,               0.003862
                     64,                0.46474,                0.26289,                0.82875,                0.93564,                0.95796,                0.96477,                0.58143,                    nan,                    nan,                    nan,               0.003763,               0.003763,               0.003763
                     65,                0.45789,                0.25927,                0.82816,                0.92777,                0.96434,                 0.9668,                0.57585,                    nan,                    nan,                    nan,               0.003664,               0.003664,               0.003664
                     66,                0.45403,                0.25698,                0.82528,                0.92774,                0.96233,                0.96216,                0.57637,                    nan,                    nan,                    nan,               0.003565,               0.003565,               0.003565
                     67,                0.45358,                0.25613,                0.82497,                0.93332,                0.95597,                0.96227,                0.57553,                    nan,                    nan,                    nan,               0.003466,               0.003466,               0.003466
                     68,                0.44857,                0.25424,                 0.8271,                0.92761,                0.95514,                0.95772,                0.57716,                    nan,                    nan,                    nan,               0.003367,               0.003367,               0.003367
