                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99392,                0.98864,                      1,                  1.718,             0.00023793,             0.00023793,             0.00023793
                      2,                0.18997,                0.99621,                      1,                 1.7023,              0.0004644,              0.0004644,              0.0004644
                      3,                0.14308,                      1,                      1,                  1.695,             0.00064644,             0.00064644,             0.00064644
                      4,                0.11229,                0.99811,                      1,                 1.6971,             0.00056831,             0.00056831,             0.00056831
                      5,                0.08902,                0.99811,                      1,                 1.6951,             0.00046979,             0.00046979,             0.00046979
                      6,                0.07617,                      1,                      1,                 1.6934,             0.00036057,             0.00036057,             0.00036057
                      7,                 0.0652,                0.99811,                      1,                 1.6932,             0.00025135,             0.00025135,             0.00025135
                      8,                0.05729,                      1,                      1,                 1.6927,             0.00015283,             0.00015283,             0.00015283
                      9,                0.04946,                0.99811,                      1,                 1.6926,             7.4639e-05,             7.4639e-05,             7.4639e-05
                     10,                0.04639,                      1,                      1,                 1.6923,             2.4438e-05,             2.4438e-05,             2.4438e-05
