                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.518,                 3.8117,                 1.0808,                0.04388,                0.90044,                0.10419,                0.05965,                    nan,                    nan,                    nan,              0.0002044,              0.0002044,              0.0002044
                      2,                  1.463,                 2.5063,                 1.0468,                0.19568,                0.41114,                0.20583,                0.12226,                    nan,                    nan,                    nan,             0.00040456,             0.00040456,             0.00040456
                      3,                 1.3935,                 2.1032,                 1.0295,                0.33688,                0.49968,                0.39468,                0.24092,                    nan,                    nan,                    nan,             0.00059647,             0.00059647,             0.00059647
                      4,                 1.3793,                 1.7648,                 1.0444,                0.50296,                0.70903,                0.64527,                0.39098,                    nan,                    nan,                    nan,             0.00058787,             0.00058787,             0.00058787
                      5,                 1.3483,                 1.5044,                 1.0242,                0.70132,                 0.7748,                0.80313,                0.50405,                    nan,                    nan,                    nan,              0.0005755,              0.0005755,              0.0005755
                      6,                 1.3434,                 1.2969,                 1.0371,                0.78486,                0.84204,                0.88716,                0.56716,                    nan,                    nan,                    nan,             0.00056313,             0.00056313,             0.00056313
                      7,                 1.2947,                 1.1255,                 1.0246,                0.85533,                0.86868,                0.91517,                0.59265,                    nan,                    nan,                    nan,             0.00055075,             0.00055075,             0.00055075
                      8,                 1.2767,                 1.0088,                 1.0227,                 0.9176,                0.92403,                 0.9437,                0.61274,                    nan,                    nan,                    nan,             0.00053838,             0.00053838,             0.00053838
                      9,                 1.2716,                0.94556,                 1.0263,                0.92363,                0.93387,                0.95266,                0.62433,                    nan,                    nan,                    nan,               0.000526,               0.000526,               0.000526
                     10,                 1.2776,                0.91149,                  1.023,                0.93754,                0.94457,                0.94924,                0.61861,                    nan,                    nan,                    nan,             0.00051363,             0.00051363,             0.00051363
                     11,                  1.282,                0.88885,                 1.0303,                0.93615,                0.95178,                0.95938,                0.60072,                    nan,                    nan,                    nan,             0.00050125,             0.00050125,             0.00050125
                     12,                 1.2541,                0.82955,                 1.0157,                0.94406,                0.95832,                0.96326,                0.63529,                    nan,                    nan,                    nan,             0.00048888,             0.00048888,             0.00048888
