                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5266,                 3.8473,                 1.0876,                0.04215,                0.88946,                0.09539,                0.05213,                    nan,                    nan,                    nan,              0.0002044,              0.0002044,              0.0002044
                      2,                 1.4304,                 2.4995,                 1.0343,                0.19376,                0.32967,                0.18321,                0.10819,                    nan,                    nan,                    nan,             0.00040456,             0.00040456,             0.00040456
                      3,                  1.378,                 2.0686,                 1.0295,                0.32845,                0.50743,                0.39572,                 0.2464,                    nan,                    nan,                    nan,             0.00059647,             0.00059647,             0.00059647
                      4,                 1.3657,                 1.7274,                 1.0436,                0.53242,                0.69218,                0.62944,                0.39354,                    nan,                    nan,                    nan,             0.00058787,             0.00058787,             0.00058787
                      5,                 1.3231,                 1.4875,                 1.0265,                0.67573,                0.75096,                0.76291,                0.46376,                    nan,                    nan,                    nan,              0.0005755,              0.0005755,              0.0005755
                      6,                 1.3195,                 1.2816,                 1.0297,                0.80164,                0.80869,                0.86746,                0.55218,                    nan,                    nan,                    nan,             0.00056313,             0.00056313,             0.00056313
                      7,                 1.3204,                  1.155,                 1.0426,                0.89642,                0.88606,                0.91546,                0.58391,                    nan,                    nan,                    nan,             0.00055075,             0.00055075,             0.00055075
                      8,                 1.2724,                 1.0357,                 1.0238,                0.89315,                0.89098,                0.92398,                0.59528,                    nan,                    nan,                    nan,             0.00053838,             0.00053838,             0.00053838
                      9,                 1.2585,                0.97415,                 1.0205,                 0.9089,                 0.9091,                0.93277,                0.60851,                    nan,                    nan,                    nan,               0.000526,               0.000526,               0.000526
                     10,                 1.2634,                0.93001,                 1.0249,                0.89948,                0.91703,                0.93273,                0.60451,                    nan,                    nan,                    nan,             0.00051363,             0.00051363,             0.00051363
                     11,                 1.2504,                0.89427,                 1.0259,                0.92725,                0.92858,                0.94639,                0.58031,                    nan,                    nan,                    nan,             0.00050125,             0.00050125,             0.00050125
                     12,                 1.2387,                0.83926,                 1.0118,                 0.9349,                0.95092,                 0.9553,                 0.5926,                    nan,                    nan,                    nan,             0.00048888,             0.00048888,             0.00048888
                     13,                 1.2256,                0.82448,                 1.0127,                0.93287,                0.94013,                0.94744,                0.61829,                    nan,                    nan,                    nan,              0.0004765,              0.0004765,              0.0004765
                     14,                 1.2267,                0.81311,                 1.0201,                0.94461,                0.95398,                0.95196,                0.63278,                    nan,                    nan,                    nan,             0.00046413,             0.00046413,             0.00046413
                     15,                 1.1973,                0.77474,                  1.004,                 0.9381,                0.95155,                0.95199,                0.63122,                    nan,                    nan,                    nan,             0.00045175,             0.00045175,             0.00045175
                     16,                 1.2238,                0.78146,                 1.0157,                0.93713,                0.95044,                0.95673,                0.62818,                    nan,                    nan,                    nan,             0.00043937,             0.00043937,             0.00043937
                     17,                    1.2,                0.75409,                 1.0127,                 0.9446,                0.95372,                0.95812,                0.61965,                    nan,                    nan,                    nan,               0.000427,               0.000427,               0.000427
                     18,                 1.1758,                0.72478,                  1.003,                0.95106,                0.95478,                0.95873,                0.61524,                    nan,                    nan,                    nan,             0.00041462,             0.00041462,             0.00041462
                     19,                  1.181,                0.71482,                 1.0044,                 0.9467,                0.96212,                0.95479,                0.61968,                    nan,                    nan,                    nan,             0.00040225,             0.00040225,             0.00040225
                     20,                 1.1743,                0.70518,                 1.0012,                0.94565,                0.95528,                0.95491,                0.62523,                    nan,                    nan,                    nan,             0.00038988,             0.00038988,             0.00038988
                     21,                 1.1793,                0.70537,                0.99799,                0.94397,                0.95753,                0.96057,                0.63138,                    nan,                    nan,                    nan,              0.0003775,              0.0003775,              0.0003775
                     22,                 1.1489,                 0.6847,                 1.0009,                0.94895,                 0.9526,                0.95852,                0.63257,                    nan,                    nan,                    nan,             0.00036513,             0.00036513,             0.00036513
                     23,                 1.1718,                0.67642,                 1.0109,                 0.9531,                0.95241,                0.95941,                0.63052,                    nan,                    nan,                    nan,             0.00035275,             0.00035275,             0.00035275
