                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0856,                 2.8225,                 1.2263,                0.86363,                0.89731,                0.93539,                0.77846,                    nan,                    nan,                    nan,               0.003329,               0.003329,               0.003329
                      2,                  1.009,                 1.4802,                 1.1587,                0.88855,                0.91325,                0.94594,                0.76586,                    nan,                    nan,                    nan,              0.0065963,              0.0065963,              0.0065963
                      3,                 1.0337,                 1.1304,                 1.1746,                0.51722,                0.62552,                0.48313,                0.32817,                    nan,                    nan,                    nan,              0.0097977,              0.0097977,              0.0097977
                      4,                  1.029,                0.87525,                 1.1745,                0.87779,                0.93448,                0.92007,                0.76517,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      5,                0.96186,                0.72989,                 1.1435,                0.93711,                0.97242,                 0.9822,                0.84047,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                      6,                0.89645,                0.63825,                 1.1156,                0.90797,                0.95287,                0.92168,                 0.8091,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                      7,                0.85966,                0.59073,                 1.0925,                0.84782,                0.94324,                0.91881,                0.82043,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                      8,                0.82293,                0.55405,                 1.0802,                0.92817,                0.97319,                 0.9167,                0.81536,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                      9,                0.80087,                0.52457,                 1.0797,                0.93459,                0.96084,                0.96638,                0.86024,                    nan,                    nan,                    nan,               0.009208,               0.009208,               0.009208
                     10,                0.76849,                0.48834,                 1.0648,                0.95878,                0.96229,                0.99188,                0.90983,                    nan,                    nan,                    nan,               0.009109,               0.009109,               0.009109
                     11,                0.75551,                0.47356,                  1.064,                 0.9447,                0.96296,                0.94302,                0.85934,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                     12,                0.74248,                0.46225,                 1.0581,                 0.9442,                 0.9629,                0.92036,                0.84305,                    nan,                    nan,                    nan,               0.008911,               0.008911,               0.008911
                     13,                0.71674,                0.44565,                 1.0449,                0.93188,                0.96882,                0.95929,                0.87834,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     14,                0.70518,                0.43403,                 1.0364,                0.94526,                0.96326,                0.97156,                 0.9025,                    nan,                    nan,                    nan,               0.008713,               0.008713,               0.008713
                     15,                0.68751,                0.42089,                 1.0255,                0.95166,                0.97204,                0.96098,                0.88859,                    nan,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     16,                0.67966,                0.41516,                 1.0276,                0.94448,                 0.9629,                0.91734,                0.83607,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     17,                0.66956,                0.40434,                 1.0207,                 0.9323,                0.96887,                0.95857,                0.88601,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     18,                0.65253,                0.39325,                 1.0101,                0.94025,                0.96276,                 0.9324,                0.86333,                    nan,                    nan,                    nan,               0.008317,               0.008317,               0.008317
                     19,                0.64743,                 0.3913,                 1.0087,                0.93898,                 0.9712,                0.96857,                0.89307,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
