                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1387,                 3.2663,                 1.6864,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00054498,             0.00054498,             0.00054498
                      2,                 1.9685,                 2.4701,                 1.5587,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0010952,              0.0010952,              0.0010952
                      3,                 1.9271,                 2.2571,                 1.5843,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0016399,              0.0016399,              0.0016399
                      4,                 1.9062,                   1.98,                 1.5837,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.8801,                  1.829,                 1.5424,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001634,               0.001634,               0.001634
                      6,                 1.8339,                 1.7836,                 1.5401,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0016257,              0.0016257,              0.0016257
                      7,                 1.8478,                 1.7093,                 1.5434,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.8197,                 1.7045,                  1.507,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.8216,                 1.6578,                 1.5318,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001601,               0.001601,               0.001601
                     10,                 1.7546,                 1.6407,                 1.4833,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.8032,                 1.5988,                  1.515,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.7476,                 1.5815,                 1.4651,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.7595,                 1.6088,                  1.478,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001568,               0.001568,               0.001568
