                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00020748,             0.00020748,             0.00020748
                      2,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00040758,             0.00040758,             0.00040758
                      3,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00059943,             0.00059943,             0.00059943
                      4,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00058787,             0.00058787,             0.00058787
                      5,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0005755,              0.0005755,              0.0005755
