                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5688,                0.09091,                0.45455,                 2.5625,             0.00017136,             0.00017136,             0.00017136
                      2,                 2.4052,                0.25455,                0.41818,                 2.5371,              0.0003464,              0.0003464,              0.0003464
                      3,                 2.2108,                0.38182,                0.74545,                 2.4619,              0.0005179,              0.0005179,              0.0005179
                      4,                 1.8869,                0.41818,                0.90909,                 2.4053,             0.00068587,             0.00068587,             0.00068587
                      5,                 1.6261,                0.49091,                0.90909,                 2.3086,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.2416,                0.65455,                      1,                 2.2266,             0.00067866,             0.00067866,             0.00067866
                      7,                0.92733,                    0.8,                      1,                 2.0606,             0.00067159,             0.00067159,             0.00067159
                      8,                0.61266,                0.96364,                      1,                 1.8955,             0.00066452,             0.00066452,             0.00066452
                      9,                0.43365,                0.92727,                      1,                 1.8389,             0.00065745,             0.00065745,             0.00065745
                     10,                0.30335,                0.98182,                      1,                 1.8101,             0.00065038,             0.00065038,             0.00065038
                     11,                0.26821,                0.98182,                      1,                   1.75,             0.00064331,             0.00064331,             0.00064331
                     12,                0.18017,                0.96364,                      1,                  1.769,             0.00063625,             0.00063625,             0.00063625
                     13,                0.21236,                      1,                      1,                 1.7383,             0.00062918,             0.00062918,             0.00062918
                     14,                0.24258,                0.98182,                      1,                 1.7324,             0.00062211,             0.00062211,             0.00062211
                     15,                0.25057,                      1,                      1,                  1.729,             0.00061504,             0.00061504,             0.00061504
                     16,                 0.2261,                0.92727,                      1,                 1.7837,             0.00060797,             0.00060797,             0.00060797
                     17,                0.19619,                0.98182,                      1,                 1.7422,              0.0006009,              0.0006009,              0.0006009
                     18,                0.17227,                      1,                      1,                 1.7134,             0.00059383,             0.00059383,             0.00059383
                     19,                0.17693,                      1,                      1,                  1.709,             0.00058677,             0.00058677,             0.00058677
                     20,                0.11248,                      1,                      1,                 1.7026,              0.0005797,              0.0005797,              0.0005797
                     21,                0.13467,                      1,                      1,                 1.7002,             0.00057263,             0.00057263,             0.00057263
                     22,                0.10984,                      1,                      1,                 1.6963,             0.00056556,             0.00056556,             0.00056556
                     23,                0.18082,                      1,                      1,                 1.6997,             0.00055849,             0.00055849,             0.00055849
                     24,                0.13707,                      1,                      1,                 1.6987,             0.00055142,             0.00055142,             0.00055142
                     25,                0.12194,                      1,                      1,                 1.6973,             0.00054435,             0.00054435,             0.00054435
                     26,                0.11631,                      1,                      1,                 1.6968,             0.00053728,             0.00053728,             0.00053728
                     27,                0.16578,                      1,                      1,                 1.6968,             0.00053022,             0.00053022,             0.00053022
                     28,                 0.1002,                      1,                      1,                 1.6924,             0.00052315,             0.00052315,             0.00052315
                     29,                0.07253,                      1,                      1,                 1.6943,             0.00051608,             0.00051608,             0.00051608
                     30,                0.08266,                      1,                      1,                 1.6963,             0.00050901,             0.00050901,             0.00050901
                     31,                 0.1202,                      1,                      1,                 1.6953,             0.00050194,             0.00050194,             0.00050194
                     32,                0.10066,                      1,                      1,                 1.6973,             0.00049487,             0.00049487,             0.00049487
                     33,                0.10741,                      1,                      1,                 1.6992,              0.0004878,              0.0004878,              0.0004878
                     34,                0.10662,                      1,                      1,                 1.7017,             0.00048074,             0.00048074,             0.00048074
                     35,                0.07391,                      1,                      1,                 1.7036,             0.00047367,             0.00047367,             0.00047367
                     36,                 0.1266,                      1,                      1,                 1.6953,              0.0004666,              0.0004666,              0.0004666
                     37,                0.09819,                      1,                      1,                 1.6943,             0.00045953,             0.00045953,             0.00045953
                     38,                0.08932,                      1,                      1,                 1.6939,             0.00045246,             0.00045246,             0.00045246
                     39,                0.09467,                      1,                      1,                 1.6934,             0.00044539,             0.00044539,             0.00044539
                     40,                 0.0859,                0.96364,                      1,                 1.7256,             0.00043832,             0.00043832,             0.00043832
                     41,                0.10384,                0.98182,                      1,                 1.7075,             0.00043126,             0.00043126,             0.00043126
                     42,                0.14505,                      1,                      1,                 1.6997,             0.00042419,             0.00042419,             0.00042419
                     43,                0.13583,                      1,                      1,                 1.6948,             0.00041712,             0.00041712,             0.00041712
                     44,                0.10742,                      1,                      1,                 1.6929,             0.00041005,             0.00041005,             0.00041005
                     45,                0.07712,                      1,                      1,                 1.6934,             0.00040298,             0.00040298,             0.00040298
                     46,                 0.0841,                      1,                      1,                 1.6934,             0.00039591,             0.00039591,             0.00039591
                     47,                0.12837,                      1,                      1,                 1.6939,             0.00038884,             0.00038884,             0.00038884
