                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                  1.829,                 1.4041,                 1.2219,                 0.4818,                0.46205,                0.42795,                0.15598,                    nan,                    nan,                    nan,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.7943,                 1.4096,                 1.2127,                0.43397,                0.46755,                0.40112,                0.14102,                    nan,                    nan,                    nan,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.7885,                 1.3955,                 1.2116,                0.43851,                0.48285,                0.39921,                0.14283,                    nan,                    nan,                    nan,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.7599,                 1.3752,                 1.1993,                 0.4685,                0.49065,                0.43345,                 0.1474,                    nan,                    nan,                    nan,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.7579,                 1.3591,                 1.2209,                0.44594,                0.46529,                0.39632,                0.13747,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     42,                 1.7469,                 1.3189,                 1.2133,                0.49257,                0.48845,                  0.436,                0.15459,                    nan,                    nan,                    nan,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.7488,                 1.3026,                 1.2075,                0.48871,                0.49065,                0.44129,                0.15695,                    nan,                    nan,                    nan,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.7301,                  1.295,                 1.1969,                0.49273,                0.48833,                0.44065,                0.15586,                    nan,                    nan,                    nan,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.7034,                 1.2785,                 1.2005,                0.49651,                0.47855,                0.44015,                0.15574,                    nan,                    nan,                    nan,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.7018,                  1.272,                 1.2005,                0.49131,                0.46325,                0.42593,                0.14869,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     47,                 1.6853,                 1.2608,                 1.1859,                0.51381,                 0.4725,                0.44508,                0.15758,                    nan,                    nan,                    nan,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.6987,                 1.2563,                  1.192,                0.51674,                 0.4813,                0.45192,                0.16136,                    nan,                    nan,                    nan,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.6638,                  1.313,                 1.1739,                0.51845,                 0.4934,                0.46254,                0.16191,                    nan,                    nan,                    nan,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.6866,                 1.2363,                 1.1831,                0.54008,                 0.4934,                0.45888,                0.16454,                    nan,                    nan,                    nan,               5.96e-05,               5.96e-05,               5.96e-05
