                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8096,                 1.3943,                 1.1929,                0.36539,                 0.4708,                0.34607,                0.11151,                 1.9972,                  1.782,                 1.3558,             0.00065537,             0.00065537,             0.00065537
                      2,                 1.8639,                 1.4568,                 1.2069,                0.42179,                0.45205,                0.37479,                0.14041,                 1.9807,                 1.6703,                  1.386,              0.0012959,              0.0012959,              0.0012959
                      3,                 1.9217,                 1.4963,                 1.2446,                0.40038,                0.46997,                0.36899,                0.12642,                 1.9789,                 1.7156,                 1.3612,              0.0019099,              0.0019099,              0.0019099
                      4,                 1.9382,                  1.539,                  1.232,                0.36419,                0.49104,                0.36211,                0.13353,                  1.957,                 1.6667,                  1.372,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.9293,                 1.5048,                 1.2423,                0.39414,                0.48577,                0.37455,                0.12639,                 1.9842,                  1.665,                 1.3371,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.9158,                 1.5087,                 1.2331,                0.47416,                0.44152,                0.38813,                0.13287,                 1.9718,                 1.6893,                 1.3594,               0.001802,               0.001802,               0.001802
                      7,                 1.9284,                 1.4894,                 1.2296,                0.33954,                0.40991,                0.29037,                0.09271,                 1.9875,                 1.8237,                  1.341,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.9076,                 1.4903,                 1.2368,                0.36794,                  0.451,                  0.325,                0.11498,                 2.0784,                 1.8606,                 1.3777,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.9163,                 1.5267,                 1.2594,                0.34618,                0.45416,                 0.3099,                0.11047,                 1.9506,                 1.6255,                  1.355,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.9286,                  1.476,                 1.2416,                0.37593,                 0.4456,                0.31721,                0.11088,                 2.0195,                 1.7032,                 1.4148,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.9117,                 1.4706,                 1.2407,                0.40355,                0.42065,                0.34635,                0.12947,                 2.0254,                 1.6799,                 1.4048,               0.001604,               0.001604,               0.001604
                     12,                 1.9092,                 1.4743,                 1.2307,                0.43957,                0.43098,                0.37389,                0.13723,                 1.9175,                 1.6802,                 1.3341,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.9029,                 1.4822,                 1.2382,                0.42898,                0.39897,                0.35034,                 0.1205,                 1.9642,                 1.6847,                 1.3412,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.8566,                 1.4482,                 1.2253,                0.46237,                0.44152,                 0.3955,                0.14455,                 1.9236,                 1.6236,                 1.3423,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.8996,                 1.4276,                 1.2271,                  0.466,                0.46989,                0.39091,                0.13489,                 1.9596,                 1.6797,                 1.3603,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.8643,                 1.4333,                 1.2202,                0.39355,                0.45838,                0.35795,                0.12097,                 2.0454,                 1.7752,                 1.4164,               0.001406,               0.001406,               0.001406
                     17,                  1.871,                 1.3986,                 1.2171,                0.46036,                0.44257,                0.40279,                0.14072,                 1.9862,                 1.6832,                  1.383,              0.0013664,              0.0013664,              0.0013664
                     18,                  1.852,                 1.4267,                 1.2289,                0.53534,                0.40991,                0.38421,                0.12815,                 1.9848,                 1.7036,                 1.3806,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.8396,                 1.3958,                  1.208,                0.46553,                0.44889,                0.40778,                0.14045,                 1.9507,                 1.6135,                 1.3641,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.8708,                 1.3773,                 1.2066,                 0.5084,                0.44679,                0.41129,                0.14146,                 2.0107,                  1.693,                 1.4026,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.8326,                 1.3982,                 1.2157,                0.43809,                0.44995,                0.37024,                 0.1261,                 1.9657,                 1.7192,                 1.3688,               0.001208,               0.001208,               0.001208
                     22,                 1.8286,                 1.3922,                 1.2122,                0.50145,                0.46365,                0.43221,                0.15333,                 1.9558,                 1.6748,                 1.3663,              0.0011684,              0.0011684,              0.0011684
                     23,                  1.815,                  1.333,                 1.1905,                0.50731,                 0.4784,                0.43969,                0.15063,                 1.9475,                 1.6314,                 1.3646,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.8072,                 1.3619,                 1.1954,                0.49942,                0.45521,                0.41377,                0.15705,                 1.9681,                 1.6102,                 1.3741,              0.0010892,              0.0010892,              0.0010892
