                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5589,                 3.4545,                 1.1054,                0.08433,                0.93476,                0.19998,                0.10763,                 1.6156,                 2.8319,                 1.0263,             0.00020614,             0.00020614,             0.00020614
                      2,                 1.4286,                 2.0528,                 1.0637,                0.46541,                0.66634,                0.58952,                0.33554,                   1.46,                 1.6537,                 0.9917,             0.00041037,             0.00041037,             0.00041037
                      3,                 1.4143,                 1.6013,                 1.0786,                  0.587,                0.73477,                0.72802,                0.37271,                 1.6848,                 1.3858,                 1.0655,             0.00061048,             0.00061048,             0.00061048
                      4,                  1.372,                 1.3438,                 1.0658,                0.76857,                0.81668,                0.86471,                0.52442,                 1.1922,                 1.1001,                 0.9359,             0.00060644,             0.00060644,             0.00060644
                      5,                 1.3372,                 1.1762,                 1.0542,                0.80949,                0.88026,                0.91205,                0.51798,                 1.4322,                 1.0262,                0.99702,             0.00060025,             0.00060025,             0.00060025
                      6,                 1.2996,                 1.0555,                 1.0402,                0.79873,                0.86811,                0.90427,                0.54035,                  1.288,                0.92175,                 0.9555,             0.00059406,             0.00059406,             0.00059406
                      7,                 1.3255,                 1.0086,                 1.0607,                0.85759,                0.84569,                0.93085,                0.53692,                 1.2143,                0.89437,                0.95153,             0.00058787,             0.00058787,             0.00058787
                      8,                 1.3139,                0.95573,                 1.0509,                0.84982,                0.82451,                0.90342,                0.48077,                 1.3101,                 1.0093,                0.97525,             0.00058169,             0.00058169,             0.00058169
                      9,                 1.3035,                0.89915,                 1.0496,                0.87529,                0.90842,                0.95382,                0.55117,                 1.3088,                0.81508,                   0.97,              0.0005755,              0.0005755,              0.0005755
                     10,                 1.3007,                0.88553,                 1.0568,                0.90803,                0.94549,                0.95086,                0.59867,                 1.1119,                  0.653,                0.92274,             0.00056931,             0.00056931,             0.00056931
                     11,                 1.2611,                0.85209,                 1.0408,                0.91688,                0.92649,                0.95026,                0.59366,                 1.2023,                0.71173,                0.93906,             0.00056313,             0.00056313,             0.00056313
                     12,                 1.2818,                0.83506,                 1.0472,                0.92223,                0.93326,                0.95656,                0.60118,                 1.2092,                0.63584,                0.94397,             0.00055694,             0.00055694,             0.00055694
                     13,                 1.2795,                0.80665,                 1.0467,                0.89537,                0.93357,                 0.9486,                0.55828,                 1.2065,                0.73928,                0.94497,             0.00055075,             0.00055075,             0.00055075
                     14,                 1.2636,                0.78827,                 1.0412,                0.94152,                0.91959,                0.95534,                0.56894,                 1.2029,                0.70613,                0.94209,             0.00054456,             0.00054456,             0.00054456
                     15,                 1.2474,                0.76901,                 1.0383,                0.91258,                   0.93,                0.94992,                0.59958,                 1.1161,                0.62405,                0.92371,             0.00053838,             0.00053838,             0.00053838
                     16,                 1.2305,                0.73641,                 1.0342,                0.90088,                 0.9104,                0.94379,                0.57461,                 1.3604,                0.73806,                0.96811,             0.00053219,             0.00053219,             0.00053219
                     17,                 1.2362,                0.72041,                 1.0327,                0.90254,                0.90338,                0.95037,                0.58989,                  1.184,                0.72737,                0.93136,               0.000526,               0.000526,               0.000526
                     18,                 1.2237,                0.71507,                  1.028,                0.93161,                0.90235,                0.94852,                0.60841,                  1.114,                 0.6036,                0.92097,             0.00051981,             0.00051981,             0.00051981
                     19,                 1.2212,                0.69417,                 1.0327,                0.93141,                0.93408,                0.95478,                0.62788,                    1.1,                0.57946,                 0.9156,             0.00051363,             0.00051363,             0.00051363
                     20,                 1.2091,                0.67534,                 1.0296,                0.91392,                0.92805,                0.94379,                0.58834,                  1.281,                0.74039,                0.94807,             0.00050744,             0.00050744,             0.00050744
                     21,                 1.1903,                0.66703,                 1.0233,                0.91606,                0.91481,                0.93639,                 0.6026,                 1.1532,                0.62711,                0.92534,             0.00050125,             0.00050125,             0.00050125
                     22,                 1.2035,                0.67266,                 1.0276,                0.93031,                0.91063,                0.95792,                0.60303,                 1.2804,                0.64613,                0.94506,             0.00049506,             0.00049506,             0.00049506
                     23,                 1.1928,                0.65114,                  1.021,                0.93191,                 0.9459,                0.95815,                0.62689,                 1.0815,                0.59678,                0.91614,             0.00048888,             0.00048888,             0.00048888
                     24,                 1.1697,                0.63868,                 1.0167,                0.91983,                0.95338,                0.95109,                0.62013,                 1.1198,                0.57877,                0.91694,             0.00048269,             0.00048269,             0.00048269
                     25,                 1.1805,                0.63251,                 1.0133,                0.93631,                0.93202,                0.94972,                0.58856,                 1.2495,                0.60798,                0.94259,              0.0004765,              0.0004765,              0.0004765
                     26,                  1.157,                0.61034,                 1.0135,                 0.9146,                0.94899,                0.95263,                0.61852,                 1.1011,                0.57872,                0.91279,             0.00047031,             0.00047031,             0.00047031
                     27,                 1.1664,                0.62252,                 1.0199,                0.90582,                   0.94,                0.94421,                0.59229,                 1.1834,                0.59711,                0.93146,             0.00046413,             0.00046413,             0.00046413
                     28,                 1.1635,                 0.6058,                 1.0203,                0.92831,                0.95024,                0.95427,                0.59442,                 1.1831,                0.58052,                0.93654,             0.00045794,             0.00045794,             0.00045794
                     29,                  1.151,                0.59461,                 1.0043,                0.92909,                0.94824,                0.95352,                0.61952,                 1.0913,                0.53445,                 0.9106,             0.00045175,             0.00045175,             0.00045175
                     30,                 1.1675,                0.59899,                 1.0143,                0.93766,                0.94451,                0.95238,                0.60513,                 1.1629,                0.56084,                0.92741,             0.00044556,             0.00044556,             0.00044556
                     31,                 1.1508,                0.59636,                 1.0133,                0.92057,                0.94462,                0.94737,                0.61106,                  1.129,                0.53772,                0.91981,             0.00043937,             0.00043937,             0.00043937
                     32,                 1.1255,                0.57633,                0.99678,                0.90164,                 0.9558,                0.94035,                0.59609,                 1.1611,                  0.577,                 0.9227,             0.00043319,             0.00043319,             0.00043319
                     33,                 1.1271,                0.57437,                  1.003,                0.92734,                0.94045,                0.96165,                0.61556,                 1.2663,                0.58375,                0.94512,               0.000427,               0.000427,               0.000427
                     34,                 1.1089,                0.56601,                0.99684,                0.92859,                0.95953,                0.96204,                 0.6362,                  1.084,                0.51193,                0.91192,             0.00042081,             0.00042081,             0.00042081
                     35,                 1.1126,                0.56048,                 1.0047,                0.93207,                0.92648,                0.95426,                0.60866,                 1.1961,                 0.5634,                0.93074,             0.00041462,             0.00041462,             0.00041462
                     36,                 1.1027,                0.55758,                0.99451,                0.92354,                0.92929,                0.95311,                0.62287,                 1.1465,                0.53939,                0.92555,             0.00040844,             0.00040844,             0.00040844
                     37,                 1.1049,                0.55793,                0.99043,                0.92545,                0.95004,                0.94733,                0.62341,                 1.1044,                0.52651,                0.91296,             0.00040225,             0.00040225,             0.00040225
                     38,                 1.1133,                0.55289,                0.99898,                0.93661,                0.96135,                0.95197,                0.62369,                 1.1205,                0.50649,                0.91246,             0.00039606,             0.00039606,             0.00039606
                     39,                 1.0959,                0.54611,                0.99085,                0.94322,                   0.96,                0.96276,                0.63862,                 1.1067,                0.50318,                0.91333,             0.00038988,             0.00038988,             0.00038988
                     40,                 1.0801,                0.53402,                0.98339,                0.94182,                0.95456,                 0.9578,                0.61023,                 1.1888,                0.51717,                0.93043,             0.00038369,             0.00038369,             0.00038369
                     41,                 1.0827,                 0.5329,                0.98888,                 0.9273,                0.96015,                  0.946,                0.62051,                  1.105,                0.50781,                0.91183,              0.0003775,              0.0003775,              0.0003775
                     42,                 1.0782,                0.53415,                0.98855,                0.93805,                0.94336,                 0.9585,                0.61736,                 1.1573,                0.51464,                0.92323,             0.00037131,             0.00037131,             0.00037131
                     43,                  1.075,                0.53072,                 0.9842,                0.94965,                0.93331,                0.95632,                 0.6289,                 1.0818,                0.50457,                0.91062,             0.00036513,             0.00036513,             0.00036513
                     44,                 1.0682,                0.52877,                0.98831,                0.92862,                0.95129,                0.95339,                0.61883,                  1.128,                0.51002,                0.92292,             0.00035894,             0.00035894,             0.00035894
                     45,                 1.0678,                0.51545,                 0.9804,                0.93445,                0.94692,                0.94876,                0.62365,                  1.068,                0.48744,                 0.9109,             0.00035275,             0.00035275,             0.00035275
                     46,                 1.0556,                0.51819,                0.98066,                0.92535,                0.95293,                0.95431,                0.59971,                 1.2307,                0.52565,                0.93732,             0.00034656,             0.00034656,             0.00034656
