                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4065,                 2.7699,                0.97886,                0.42445,                0.61319,                0.51092,                 0.3108,                 1.2926,                  1.593,                0.95069,             0.00020736,             0.00020736,             0.00020736
                      2,                 1.2344,                 1.2885,                0.94875,                 0.8054,                0.83468,                0.87949,                0.42887,                  1.707,                 1.0378,                 1.0758,             0.00041157,             0.00041157,             0.00041157
                      3,                 1.1827,                0.94305,                0.94185,                0.88031,                 0.8823,                0.91897,                0.50416,                 1.4759,                0.86071,                 1.0136,             0.00061167,             0.00061167,             0.00061167
                      4,                 1.1313,                0.79864,                0.93031,                0.90862,                0.91131,                0.93133,                0.51597,                 1.4586,                0.79165,                 1.0138,             0.00060644,             0.00060644,             0.00060644
                      5,                 1.0939,                0.71715,                0.92699,                0.92527,                0.93788,                0.95004,                0.53673,                 1.4748,                0.76502,                 1.0143,             0.00060025,             0.00060025,             0.00060025
                      6,                 1.0803,                0.66685,                0.92222,                 0.9312,                0.93465,                0.94197,                0.55364,                 1.3987,                0.69708,                0.98562,             0.00059406,             0.00059406,             0.00059406
                      7,                 1.0392,                0.60495,                0.91279,                 0.9037,                0.92181,                0.89698,                0.41866,                 1.7419,                0.79981,                 1.1253,             0.00058787,             0.00058787,             0.00058787
                      8,                 1.0229,                0.58721,                0.91132,                0.92492,                0.92974,                0.93037,                0.48802,                 1.5655,                0.72892,                  1.056,             0.00058169,             0.00058169,             0.00058169
                      9,                0.98994,                0.55174,                0.90266,                0.91905,                0.93928,                0.94109,                0.54442,                 1.4148,                0.70935,                0.99459,              0.0005755,              0.0005755,              0.0005755
                     10,                0.97698,                0.53455,                0.90044,                0.92607,                0.93685,                0.93516,                0.55768,                  1.336,                0.64247,                0.96814,             0.00056931,             0.00056931,             0.00056931
                     11,                0.93433,                0.50622,                0.88846,                0.93023,                0.94585,                  0.941,                0.53635,                 1.4368,                0.64647,                 1.0058,             0.00056313,             0.00056313,             0.00056313
                     12,                0.91426,                0.48665,                  0.886,                0.92802,                0.94315,                0.93249,                0.54314,                 1.3752,                0.63423,                0.98567,             0.00055694,             0.00055694,             0.00055694
                     13,                0.89928,                0.47205,                0.88222,                0.92568,                0.93733,                0.92595,                0.51846,                 1.4554,                0.65747,                 1.0202,             0.00055075,             0.00055075,             0.00055075
                     14,                0.87077,                0.45624,                0.87588,                0.93704,                0.93669,                   0.95,                 0.5595,                 1.3702,                0.62218,                0.98895,             0.00054456,             0.00054456,             0.00054456
                     15,                 0.8693,                0.45165,                0.87535,                 0.9314,                0.93756,                0.95097,                0.55687,                  1.377,                0.61462,                0.99488,             0.00053838,             0.00053838,             0.00053838
                     16,                0.83259,                 0.4326,                0.86829,                0.93074,                0.94089,                0.94684,                0.52575,                 1.4745,                 0.6432,                 1.0285,             0.00053219,             0.00053219,             0.00053219
                     17,                0.82485,                0.42685,                0.86445,                0.93606,                0.93967,                0.94127,                0.54664,                  1.403,                0.61943,                 1.0082,               0.000526,               0.000526,               0.000526
                     18,                0.79595,                0.41071,                0.86085,                0.93212,                0.93402,                 0.9388,                0.52614,                 1.4857,                0.64749,                 1.0382,             0.00051981,             0.00051981,             0.00051981
                     19,                0.79415,                0.40821,                 0.8575,                 0.9272,                0.94751,                0.92985,                0.54644,                 1.3881,                0.66323,                 1.0028,             0.00051363,             0.00051363,             0.00051363
                     20,                0.77525,                0.39673,                0.85344,                 0.9278,                0.94273,                0.93791,                0.52686,                 1.4701,                0.66278,                 1.0385,             0.00050744,             0.00050744,             0.00050744
                     21,                0.75176,                0.39107,                0.84791,                0.92209,                0.93208,                0.93202,                0.53361,                 1.4287,                 0.6638,                 1.0217,             0.00050125,             0.00050125,             0.00050125
                     22,                0.73857,                 0.3858,                0.84412,                0.92716,                0.94317,                0.94395,                0.52948,                 1.4765,                0.65859,                 1.0438,             0.00049506,             0.00049506,             0.00049506
                     23,                0.72551,                0.37725,                0.84314,                0.91996,                 0.9452,                0.93264,                0.52448,                 1.4739,                0.64014,                 1.0451,             0.00048888,             0.00048888,             0.00048888
                     24,                0.70778,                0.36425,                0.84177,                0.92284,                0.94387,                0.94313,                0.54081,                 1.4347,                0.64152,                 1.0382,             0.00048269,             0.00048269,             0.00048269
                     25,                0.69802,                0.36118,                0.83795,                0.92921,                0.94751,                0.93609,                0.54878,                 1.3928,                 0.6218,                 1.0215,              0.0004765,              0.0004765,              0.0004765
                     26,                0.69564,                0.35963,                0.83718,                0.92491,                0.94957,                0.93276,                0.51629,                 1.5088,                 0.6349,                 1.0683,             0.00047031,             0.00047031,             0.00047031
                     27,                0.67767,                0.35429,                0.83476,                0.92876,                0.94839,                0.93364,                0.53792,                  1.412,                 0.6441,                 1.0279,             0.00046413,             0.00046413,             0.00046413
