                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5722,                 0.2449,                0.67347,                 2.5185,             0.00023157,             0.00023157,             0.00023157
                      2,                 2.1575,                 0.4898,                0.91837,                 2.3965,             0.00046027,             0.00046027,             0.00046027
                      3,                 1.5831,                0.65306,                0.97959,                 2.1465,             0.00067955,             0.00067955,             0.00067955
                      4,                 1.0581,                0.77551,                0.97959,                  1.999,             0.00067159,             0.00067159,             0.00067159
                      5,                0.73855,                0.83673,                0.97959,                 1.8755,             0.00065745,             0.00065745,             0.00065745
                      6,                0.51307,                0.87755,                      1,                 1.8389,             0.00064331,             0.00064331,             0.00064331
                      7,                0.46472,                0.93878,                      1,                 1.7974,             0.00062918,             0.00062918,             0.00062918
                      8,                 0.3981,                0.91837,                      1,                  1.772,             0.00061504,             0.00061504,             0.00061504
                      9,                0.37895,                0.93878,                      1,                 1.7564,              0.0006009,              0.0006009,              0.0006009
                     10,                0.26434,                0.95918,                      1,                 1.7559,             0.00058677,             0.00058677,             0.00058677
                     11,                0.28971,                0.93878,                      1,                 1.7661,             0.00057263,             0.00057263,             0.00057263
                     12,                0.26416,                0.95918,                      1,                 1.7588,             0.00055849,             0.00055849,             0.00055849
                     13,                0.23926,                0.95918,                      1,                 1.7412,             0.00054435,             0.00054435,             0.00054435
                     14,                0.24637,                0.91837,                      1,                 1.7568,             0.00053022,             0.00053022,             0.00053022
                     15,                0.25813,                0.93878,                      1,                 1.7441,             0.00051608,             0.00051608,             0.00051608
                     16,                0.22666,                0.95918,                      1,                 1.7471,             0.00050194,             0.00050194,             0.00050194
                     17,                0.18164,                0.97959,                      1,                 1.7222,              0.0004878,              0.0004878,              0.0004878
                     18,                0.16539,                0.97959,                      1,                 1.7241,             0.00047367,             0.00047367,             0.00047367
                     19,                 0.2077,                0.97959,                      1,                 1.7163,             0.00045953,             0.00045953,             0.00045953
                     20,                 0.1596,                0.97959,                      1,                 1.7329,             0.00044539,             0.00044539,             0.00044539
                     21,                0.16315,                0.97959,                      1,                 1.7241,             0.00043126,             0.00043126,             0.00043126
                     22,                0.11472,                0.97959,                      1,                 1.7349,             0.00041712,             0.00041712,             0.00041712
                     23,                0.15006,                0.97959,                      1,                 1.7334,             0.00040298,             0.00040298,             0.00040298
                     24,                 0.1689,                0.97959,                      1,                 1.7222,             0.00038884,             0.00038884,             0.00038884
                     25,                0.17678,                0.97959,                      1,                 1.7397,             0.00037471,             0.00037471,             0.00037471
                     26,                0.12552,                0.97959,                      1,                 1.7168,             0.00036057,             0.00036057,             0.00036057
                     27,                0.14569,                0.95918,                      1,                  1.728,             0.00034643,             0.00034643,             0.00034643
                     28,                0.18342,                0.97959,                      1,                 1.7261,              0.0003323,              0.0003323,              0.0003323
                     29,                0.11653,                0.97959,                      1,                 1.7173,             0.00031816,             0.00031816,             0.00031816
                     30,                0.15695,                0.97959,                      1,                 1.7231,             0.00030402,             0.00030402,             0.00030402
                     31,                0.13598,                0.95918,                      1,                 1.7441,             0.00028988,             0.00028988,             0.00028988
                     32,                 0.1084,                0.95918,                      1,                 1.7402,             0.00027575,             0.00027575,             0.00027575
                     33,                0.10513,                0.97959,                      1,                 1.7222,             0.00026161,             0.00026161,             0.00026161
                     34,                0.15254,                0.97959,                      1,                 1.7134,             0.00024747,             0.00024747,             0.00024747
                     35,                0.11955,                0.97959,                      1,                 1.7197,             0.00023334,             0.00023334,             0.00023334
                     36,                0.09849,                0.97959,                      1,                 1.7105,              0.0002192,              0.0002192,              0.0002192
                     37,                 0.1356,                0.97959,                      1,                  1.709,             0.00020506,             0.00020506,             0.00020506
                     38,                0.13308,                0.97959,                      1,                   1.71,             0.00019092,             0.00019092,             0.00019092
                     39,                0.12883,                0.97959,                      1,                 1.7124,             0.00017679,             0.00017679,             0.00017679
                     40,                0.15017,                0.97959,                      1,                 1.7109,             0.00016265,             0.00016265,             0.00016265
                     41,                0.10825,                0.97959,                      1,                  1.729,             0.00014851,             0.00014851,             0.00014851
                     42,                0.12194,                0.97959,                      1,                 1.7241,             0.00013437,             0.00013437,             0.00013437
                     43,                 0.1005,                0.97959,                      1,                   1.73,             0.00012024,             0.00012024,             0.00012024
                     44,                0.11515,                0.97959,                      1,                 1.7241,              0.0001061,              0.0001061,              0.0001061
                     45,                0.08183,                0.97959,                      1,                 1.7207,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.12396,                0.97959,                      1,                 1.7158,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.12146,                0.97959,                      1,                 1.7295,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.13595,                0.97959,                      1,                 1.7129,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.09143,                0.97959,                      1,                 1.7139,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                 0.0927,                0.97959,                      1,                 1.7134,             2.1277e-05,             2.1277e-05,             2.1277e-05
