                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9511,                 4.2418,                 1.4904,                0.00334,                0.44444,                0.06884,                0.01664,                    nan,                    nan,                    nan,             0.00013336,             0.00013336,             0.00013336
                      2,                  1.465,                 3.1595,                 1.0943,                0.00376,                    0.5,                0.20739,                0.06806,                    nan,                    nan,                    nan,             0.00027778,             0.00027778,             0.00027778
                      3,                 1.2097,                  2.314,                  1.042,                0.00489,                0.65278,                0.14226,                0.08652,                    nan,                    nan,                    nan,             0.00041626,             0.00041626,             0.00041626
                      4,                 1.2485,                 1.8354,                  1.071,                0.00543,                0.72222,                0.08545,                0.05128,                    nan,                    nan,                    nan,             0.00054879,             0.00054879,             0.00054879
                      5,                 1.1614,                 1.8346,                 1.0502,                0.00521,                0.69444,                0.23645,                0.12313,                    nan,                    nan,                    nan,             0.00067539,             0.00067539,             0.00067539
                      6,                 1.1803,                 1.7566,                 1.0465,                0.00501,                0.66667,                0.57877,                0.40707,                    nan,                    nan,                    nan,             0.00079604,             0.00079604,             0.00079604
                      7,                 1.1722,                 1.4537,                 1.0734,                      1,                0.07246,                0.65071,                0.46145,                    nan,                    nan,                    nan,             0.00091076,             0.00091076,             0.00091076
                      8,                 1.1123,                 1.3928,                 1.0432,                      1,                0.46346,                0.74028,                0.53293,                    nan,                    nan,                    nan,              0.0010195,              0.0010195,              0.0010195
                      9,                 1.1262,                 1.4203,                  1.072,                      1,                 0.7365,                 0.7459,                0.50659,                    nan,                    nan,                    nan,              0.0011224,              0.0011224,              0.0011224
                     10,                 1.0417,                 1.2079,                 0.9999,                0.95147,                0.68536,                0.74341,                 0.4872,                    nan,                    nan,                    nan,              0.0012192,              0.0012192,              0.0012192
                     11,                 1.0482,                 1.2233,                 1.0211,                0.92945,                   0.75,                 0.7458,                0.53972,                    nan,                    nan,                    nan,              0.0013102,              0.0013102,              0.0013102
                     12,                 1.1146,                 1.2523,                 1.0454,                0.86269,                0.65063,                0.70775,                0.47434,                    nan,                    nan,                    nan,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.1181,                  1.235,                 1.0375,                0.95268,                0.72108,                0.73955,                0.50389,                    nan,                    nan,                    nan,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.1712,                 1.2902,                 1.0468,                0.92144,                0.72362,                0.73949,                0.52475,                    nan,                    nan,                    nan,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.1088,                 1.1907,                 1.0253,                0.99606,                0.74557,                0.74574,                0.54337,                    nan,                    nan,                    nan,              0.0012049,              0.0012049,              0.0012049
                     16,                  1.048,                 1.1325,                 1.0275,                0.85578,                0.71118,                0.72231,                0.52591,                    nan,                    nan,                    nan,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.0325,                 1.0956,                 1.0113,                 0.9319,                0.73611,                0.74181,                0.53317,                    nan,                    nan,                    nan,              0.0011389,              0.0011389,              0.0011389
                     18,                0.97955,                 1.0262,                0.99971,                0.97338,                0.74859,                0.74539,                0.55509,                    nan,                    nan,                    nan,              0.0011059,              0.0011059,              0.0011059
                     19,                0.92636,                 1.0486,                 0.9971,                0.96299,                 0.7465,                 0.7454,                0.55924,                    nan,                    nan,                    nan,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.0111,                0.96414,                0.99025,                0.99013,                0.73549,                0.74447,                0.54611,                    nan,                    nan,                    nan,              0.0010399,              0.0010399,              0.0010399
                     21,                0.98542,                0.89016,                 1.0099,                0.98366,                0.73611,                0.74475,                0.55921,                    nan,                    nan,                    nan,              0.0010069,              0.0010069,              0.0010069
                     22,                0.97534,                0.90021,                0.98622,                 0.9727,                0.73611,                0.73927,                0.54035,                    nan,                    nan,                    nan,             0.00097386,             0.00097386,             0.00097386
                     23,                0.96878,                0.93794,                 0.9855,                0.97858,                0.73379,                0.73413,                0.51988,                    nan,                    nan,                    nan,             0.00094085,             0.00094085,             0.00094085
                     24,                 0.9298,                0.92322,                0.96154,                0.95191,                0.74866,                0.74431,                0.53475,                    nan,                    nan,                    nan,             0.00090785,             0.00090785,             0.00090785
                     25,                0.88534,                0.83893,                0.95282,                0.99228,                0.73207,                0.74538,                0.54406,                    nan,                    nan,                    nan,             0.00087484,             0.00087484,             0.00087484
                     26,                0.85789,                0.81355,                0.94951,                0.99286,                0.73611,                0.74538,                0.52598,                    nan,                    nan,                    nan,             0.00084184,             0.00084184,             0.00084184
                     27,                 0.9504,                0.83478,                0.97367,                0.98633,                0.73611,                0.74538,                0.46929,                    nan,                    nan,                    nan,             0.00080883,             0.00080883,             0.00080883
                     28,                0.91954,                0.82056,                0.98649,                0.97093,                0.74847,                0.74484,                0.54344,                    nan,                    nan,                    nan,             0.00077582,             0.00077582,             0.00077582
                     29,                0.91193,                0.78233,                0.98968,                0.97004,                0.74857,                0.74485,                0.51683,                    nan,                    nan,                    nan,             0.00074282,             0.00074282,             0.00074282
                     30,                0.88541,                0.72497,                0.95302,                0.97806,                0.74833,                0.74431,                0.55931,                    nan,                    nan,                    nan,             0.00070981,             0.00070981,             0.00070981
                     31,                0.88169,                0.77192,                0.94775,                0.97718,                   0.75,                0.74485,                0.55674,                    nan,                    nan,                    nan,              0.0006768,              0.0006768,              0.0006768
                     32,                0.89384,                0.71917,                0.95636,                 0.9717,                0.74928,                0.74485,                0.57332,                    nan,                    nan,                    nan,              0.0006438,              0.0006438,              0.0006438
                     33,                0.83829,                 0.7313,                 0.9568,                0.97472,                   0.75,                0.74538,                0.55457,                    nan,                    nan,                    nan,             0.00061079,             0.00061079,             0.00061079
                     34,                0.84473,                0.71007,                0.95564,                0.99874,                 0.7452,                0.74574,                0.56293,                    nan,                    nan,                    nan,             0.00057778,             0.00057778,             0.00057778
                     35,                0.82621,                 0.6825,                0.92785,                0.99596,                   0.75,                0.74574,                0.57286,                    nan,                    nan,                    nan,             0.00054478,             0.00054478,             0.00054478
                     36,                0.81063,                0.68739,                0.92959,                0.99752,                   0.75,                0.74574,                 0.5764,                    nan,                    nan,                    nan,             0.00051177,             0.00051177,             0.00051177
                     37,                0.80188,                0.66443,                0.92882,                0.97426,                   0.75,                0.74538,                0.56938,                    nan,                    nan,                    nan,             0.00047876,             0.00047876,             0.00047876
                     38,                0.82252,                0.66089,                0.94258,                0.97408,                   0.75,                0.74538,                0.58101,                    nan,                    nan,                    nan,             0.00044576,             0.00044576,             0.00044576
                     39,                0.83542,                0.66791,                 0.9209,                0.99725,                0.74753,                0.74574,                0.58272,                    nan,                    nan,                    nan,             0.00041275,             0.00041275,             0.00041275
                     40,                0.75653,                0.63007,                0.89144,                0.99714,                   0.75,                0.74574,                0.57373,                    nan,                    nan,                    nan,             0.00037974,             0.00037974,             0.00037974
