                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0866,                 2.8289,                 1.2242,                0.89602,                0.91503,                0.94021,                0.78881,                    nan,                    nan,                    nan,               0.003329,               0.003329,               0.003329
                      2,                 1.0071,                 1.4785,                  1.165,                0.91589,                0.93397,                0.91829,                 0.7716,                    nan,                    nan,                    nan,              0.0065963,              0.0065963,              0.0065963
                      3,                  1.032,                 1.1319,                 1.1779,                0.82907,                 0.7363,                0.87222,                0.69946,                    nan,                    nan,                    nan,              0.0097977,              0.0097977,              0.0097977
                      4,                 1.0299,                0.87957,                 1.1838,                0.92212,                 0.9285,                0.92372,                0.77061,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      5,                 0.9567,                0.72927,                 1.1433,                0.82961,                0.81442,                0.87514,                0.75433,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                      6,                0.89469,                0.63988,                 1.1169,                0.92114,                 0.9621,                0.94798,                 0.8484,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                      7,                0.84938,                0.58774,                    1.1,                0.78705,                0.86498,                0.88718,                0.75972,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                      8,                0.82076,                0.54662,                 1.0944,                 0.8924,                0.96134,                0.93105,                0.79555,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                      9,                0.79839,                0.52145,                 1.0955,                0.94233,                0.96129,                0.95592,                0.84425,                    nan,                    nan,                    nan,               0.009208,               0.009208,               0.009208
                     10,                 0.7622,                0.49137,                 1.0695,                 0.9162,                0.94309,                0.95366,                0.84653,                    nan,                    nan,                    nan,               0.009109,               0.009109,               0.009109
                     11,                0.74828,                0.46784,                 1.0662,                0.95425,                0.97529,                0.96592,                0.88311,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                     12,                 0.7353,                0.45764,                  1.067,                0.92172,                0.96574,                0.96591,                0.87078,                    nan,                    nan,                    nan,               0.008911,               0.008911,               0.008911
                     13,                0.71426,                0.44194,                 1.0522,                0.96082,                0.97565,                0.99107,                0.90685,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     14,                0.70156,                0.43101,                 1.0471,                0.94455,                0.96293,                0.95967,                0.88962,                    nan,                    nan,                    nan,               0.008713,               0.008713,               0.008713
                     15,                0.68885,                0.42367,                 1.0424,                0.93386,                0.95658,                0.95015,                0.86556,                    nan,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     16,                0.67465,                0.41007,                 1.0339,                0.93526,                0.96462,                0.97121,                0.88126,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     17,                0.66342,                0.40173,                 1.0279,                0.93952,                0.97389,                 0.9775,                0.88925,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     18,                0.65208,                0.39601,                 1.0251,                0.94497,                0.96314,                0.97361,                0.90847,                    nan,                    nan,                    nan,               0.008317,               0.008317,               0.008317
