                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5143,                0.95536,                0.99901,                 1.7784,             0.00023768,             0.00023768,             0.00023768
                      2,                0.33672,                0.99405,                      1,                 1.7056,             0.00046627,             0.00046627,             0.00046627
                      3,                0.21374,                0.99504,                      1,                 1.7034,             0.00068542,             0.00068542,             0.00068542
                      4,                0.15781,                0.99802,                      1,                 1.6947,             0.00067159,             0.00067159,             0.00067159
                      5,                0.12782,                0.99702,                      1,                 1.6967,             0.00065745,             0.00065745,             0.00065745
                      6,                0.10504,                0.99702,                      1,                 1.6979,             0.00064331,             0.00064331,             0.00064331
                      7,                0.09552,                0.99504,                      1,                  1.695,             0.00062918,             0.00062918,             0.00062918
                      8,                0.08765,                0.99901,                      1,                 1.6928,             0.00061504,             0.00061504,             0.00061504
                      9,                0.08336,                      1,                      1,                 1.6913,              0.0006009,              0.0006009,              0.0006009
                     10,                0.08066,                0.99901,                      1,                 1.6927,             0.00058677,             0.00058677,             0.00058677
                     11,                0.07616,                0.99603,                      1,                 1.6962,             0.00057263,             0.00057263,             0.00057263
                     12,                0.07015,                0.99901,                      1,                 1.6906,             0.00055849,             0.00055849,             0.00055849
                     13,                0.07228,                      1,                      1,                 1.6909,             0.00054435,             0.00054435,             0.00054435
                     14,                0.06529,                0.99901,                      1,                 1.6925,             0.00053022,             0.00053022,             0.00053022
                     15,                0.05302,                      1,                      1,                 1.6912,             0.00051608,             0.00051608,             0.00051608
                     16,                0.05839,                      1,                      1,                  1.692,             0.00050194,             0.00050194,             0.00050194
                     17,                0.05536,                0.99802,                      1,                 1.6917,              0.0004878,              0.0004878,              0.0004878
                     18,                0.05208,                0.99901,                      1,                 1.6909,             0.00047367,             0.00047367,             0.00047367
                     19,                0.04851,                      1,                      1,                 1.6899,             0.00045953,             0.00045953,             0.00045953
                     20,                 0.0477,                      1,                      1,                 1.6896,             0.00044539,             0.00044539,             0.00044539
                     21,                0.04254,                      1,                      1,                 1.6897,             0.00043126,             0.00043126,             0.00043126
                     22,                0.04536,                      1,                      1,                 1.6905,             0.00041712,             0.00041712,             0.00041712
                     23,                0.04075,                      1,                      1,                 1.6907,             0.00040298,             0.00040298,             0.00040298
                     24,                0.04362,                0.99901,                      1,                 1.6915,             0.00038884,             0.00038884,             0.00038884
                     25,                0.04332,                      1,                      1,                  1.691,             0.00037471,             0.00037471,             0.00037471
                     26,                 0.0407,                      1,                      1,                 1.6905,             0.00036057,             0.00036057,             0.00036057
                     27,                0.03635,                      1,                      1,                 1.6906,             0.00034643,             0.00034643,             0.00034643
                     28,                0.03432,                      1,                      1,                 1.6907,              0.0003323,              0.0003323,              0.0003323
                     29,                0.03405,                0.99901,                      1,                 1.6904,             0.00031816,             0.00031816,             0.00031816
                     30,                0.03033,                      1,                      1,                   1.69,             0.00030402,             0.00030402,             0.00030402
                     31,                 0.0341,                      1,                      1,                 1.6903,             0.00028988,             0.00028988,             0.00028988
                     32,                0.03469,                      1,                      1,                 1.6902,             0.00027575,             0.00027575,             0.00027575
                     33,                   0.03,                      1,                      1,                 1.6902,             0.00026161,             0.00026161,             0.00026161
                     34,                0.03267,                      1,                      1,                 1.6899,             0.00024747,             0.00024747,             0.00024747
                     35,                0.02711,                      1,                      1,                 1.6899,             0.00023334,             0.00023334,             0.00023334
                     36,                 0.0293,                      1,                      1,                   1.69,              0.0002192,              0.0002192,              0.0002192
                     37,                0.03365,                      1,                      1,                 1.6905,             0.00020506,             0.00020506,             0.00020506
                     38,                0.02419,                      1,                      1,                 1.6899,             0.00019092,             0.00019092,             0.00019092
                     39,                0.02333,                      1,                      1,                 1.6896,             0.00017679,             0.00017679,             0.00017679
                     40,                0.02591,                      1,                      1,                 1.6898,             0.00016265,             0.00016265,             0.00016265
                     41,                0.02347,                      1,                      1,                 1.6899,             0.00014851,             0.00014851,             0.00014851
                     42,                  0.029,                      1,                      1,                 1.6899,             0.00013437,             0.00013437,             0.00013437
                     43,                0.02132,                      1,                      1,                 1.6897,             0.00012024,             0.00012024,             0.00012024
                     44,                0.02596,                      1,                      1,                 1.6897,              0.0001061,              0.0001061,              0.0001061
                     45,                0.01813,                      1,                      1,                 1.6899,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.03273,                      1,                      1,                   1.69,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.02051,                      1,                      1,                 1.6901,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.01806,                      1,                      1,                 1.6903,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                   0.02,                      1,                      1,                   1.69,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.01866,                      1,                      1,                 1.6901,             2.1277e-05,             2.1277e-05,             2.1277e-05
