                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0622,                 4.4809,                 1.5079,                0.00322,                0.43056,                0.00395,                0.00209,                    nan,                    nan,                    nan,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.5303,                 3.1585,                 1.1785,                0.00406,                0.54167,                0.09404,                0.04278,                    nan,                    nan,                    nan,             0.00027778,             0.00027778,             0.00027778
                      3,                 1.2775,                 2.2667,                 1.0977,                0.00448,                0.59722,                0.09264,                0.03178,                    nan,                    nan,                    nan,             0.00041626,             0.00041626,             0.00041626
                      4,                 1.2203,                 1.9177,                 1.0826,                0.00463,                0.61111,                  0.023,                 0.0077,                    nan,                    nan,                    nan,             0.00054879,             0.00054879,             0.00054879
                      5,                 1.2144,                  1.859,                  1.085,                0.00492,                0.65278,                0.16963,                0.11624,                    nan,                    nan,                    nan,             0.00067539,             0.00067539,             0.00067539
                      6,                 1.2484,                 1.6582,                  1.077,                0.00489,                0.65278,                0.17652,                 0.1074,                    nan,                    nan,                    nan,             0.00079604,             0.00079604,             0.00079604
                      7,                 1.1342,                 1.5674,                 1.0978,                0.00531,                0.70833,                0.52416,                0.35457,                    nan,                    nan,                    nan,             0.00091076,             0.00091076,             0.00091076
                      8,                  1.174,                 1.5032,                 1.0867,                      1,                0.19601,                0.63609,                0.45829,                    nan,                    nan,                    nan,              0.0010195,              0.0010195,              0.0010195
                      9,                 1.1661,                 1.3757,                  1.113,                0.94117,                0.33494,                0.54831,                0.35962,                    nan,                    nan,                    nan,              0.0011224,              0.0011224,              0.0011224
                     10,                 1.2671,                 1.4843,                 1.1082,                 0.8165,                  0.625,                 0.6744,                0.42074,                    nan,                    nan,                    nan,              0.0012192,              0.0012192,              0.0012192
                     11,                 1.1978,                 1.2493,                 1.1049,                 0.9473,                0.70833,                0.73234,                0.42775,                    nan,                    nan,                    nan,              0.0013102,              0.0013102,              0.0013102
                     12,                 1.2516,                 1.2766,                 1.0819,                 0.9049,                0.68056,                0.70114,                0.47596,                    nan,                    nan,                    nan,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.1483,                 1.2944,                 1.0993,                0.88657,                0.68241,                0.70749,                 0.4941,                    nan,                    nan,                    nan,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.1273,                 1.2022,                 1.0734,                0.97448,                0.71421,                0.73892,                0.53696,                    nan,                    nan,                    nan,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.0087,                 1.0945,                 1.0458,                0.99528,                 0.7155,                0.74265,                0.53264,                    nan,                    nan,                    nan,              0.0012049,              0.0012049,              0.0012049
                     16,                0.98996,                 1.1134,                 1.0313,                0.99696,                0.73313,                0.74542,                0.55601,                    nan,                    nan,                    nan,              0.0011719,              0.0011719,              0.0011719
                     17,                0.99566,                 1.0461,                 1.0141,                0.99429,                0.71933,                0.74474,                0.53775,                    nan,                    nan,                    nan,              0.0011389,              0.0011389,              0.0011389
                     18,                  1.007,                 1.0047,                 1.0334,                0.98971,                0.73384,                0.74541,                0.53122,                    nan,                    nan,                    nan,              0.0011059,              0.0011059,              0.0011059
                     19,                  1.049,                 1.0645,                 1.0398,                0.99663,                0.74756,                0.74577,                0.52293,                    nan,                    nan,                    nan,              0.0010729,              0.0010729,              0.0010729
                     20,                0.95107,                0.94775,                 1.0225,                0.99532,                0.74979,                0.74578,                0.54962,                    nan,                    nan,                    nan,              0.0010399,              0.0010399,              0.0010399
                     21,                0.98999,                0.93024,                 1.0169,                0.99393,                0.74991,                0.74578,                0.55361,                    nan,                    nan,                    nan,              0.0010069,              0.0010069,              0.0010069
                     22,                  0.932,                0.92346,                0.99318,                0.99572,                   0.75,                0.74575,                 0.5847,                    nan,                    nan,                    nan,             0.00097386,             0.00097386,             0.00097386
